year,asset,Ig,Kg,Kn,D,R,delta,z
1918,C,348287.7294410884,NA,8461.095233859322,348124.9883767697,NA,41.144199273831006,NA
1919,C,336914.4184435392,NA,8632.207629103395,336743.3060482951,NA,39.01010268948683,NA
1920,C,366665.1181547726,NA,8787.67304318318,366509.65274069284,NA,41.7072472928432,NA
1921,C,357058.25469868537,NA,8968.918260126788,356877.00948174176,NA,39.79041832372512,NA
1922,C,335096.63298302155,NA,9136.014826075989,334929.53641707235,NA,36.66035386250878,NA
1923,C,380961.73876507586,NA,9276.879783856633,380820.8738072952,NA,41.05053452023697,NA
1924,C,368178.8946799255,NA,9459.87290803421,367995.90155574796,NA,38.90072362845503,NA
1925,C,474375.37890494545,NA,9625.421325024043,474209.8304879556,NA,49.26639722825547,NA
1926,C,420952.05639271124,NA,9892.850145440972,420684.6275722943,NA,42.52410795549783,NA
1927,C,481058.5300965144,NA,10100.314495695067,480851.0657462603,NA,47.60753399819456,NA
1928,C,503563.0596384043,NA,10362.49921066987,503300.8749234295,NA,48.569448806828355,NA
1929,C,513591.88236932945,NA,10640.574287484098,513313.80729251524,NA,48.24117509299259,NA
1930,C,546251.2020164605,NA,10921.669621671901,545970.1066822726,NA,49.989619315979176,NA
1931,C,559301.6471787543,NA,11228.299392188881,558995.0174082373,NA,49.78447740689118,NA
1932,C,466864.4445462296,NA,11540.241603757715,466552.5023346608,NA,40.42831323243204,NA
1933,C,506335.2234627458,NA,11751.835904028823,506123.62916247465,NA,43.06762222479322,NA
1934,C,501853.852534247,NA,11997.16285206309,501608.5255862127,NA,41.810595702629286,NA
1935,C,531449.9080142967,NA,12231.479972996329,531215.5908933635,NA,43.430197495817204,NA
1936,C,535332.9805790719,NA,12489.067044415237,535075.393507653,NA,42.84350397069282,NA
1937,C,546387.7818887371,NA,12743.645797835854,546133.2031353165,NA,42.855334477992294,NA
1938,C,576421.3749048365,NA,13002.409494067437,576162.611208605,NA,44.3119878259094,NA
1939,C,601327.0403772804,NA,13284.196269836704,601045.2536015111,NA,45.24513500047071,NA
1940,C,596470,NA,13583.307845075198,596170.8884247615,NA,43.889963713140084,NA
1941,C,590749,NA,13869.53509389368,590462.7727511815,NA,42.57264347751235,NA
1942,C,467716,NA,14142.255654190698,467443.279439703,NA,33.05295073641156,NA
1943,C,506838,NA,14284.416929031227,506695.83872515947,NA,35.471930092950856,NA
1944,C,593541,NA,14461.142053801315,593364.2748752299,NA,41.03163309423793,NA
1945,C,617340,NA,14719.184558153123,617081.9574956482,NA,41.923651073037156,NA
1946,C,846442,NA,14993.714749793737,846167.4698083594,NA,56.43481178138325,NA
1947,C,871124,NA,15489.60369894356,870628.1110508501,NA,56.207255393514664,NA
1948,C,762653,NA,15997.186700129354,762145.4169988142,NA,47.642465596319596,NA
1949,C,859572,NA,16382.945981474306,859186.240718655,NA,52.443940283402966,NA
1950,C,795332,628857.9074029097,16855.06130901244,794859.8846724619,NA,47.15852823670529,NA
1951,C,884079,652544.0403739475,17250.254153536483,883683.807155476,860392.8670289622,51.22729203235023,1.318520764569246
1952,C,928673,674911.9658973227,17723.25959705771,928199.9945564788,906305.0744766247,52.37185572289265,1.342849320017101
1953,C,983498,699179.7970064448,18227.992227496088,982993.2673695616,959230.168890878,53.927676460535324,1.3719363359722996
1954,C,978429.0000000001,726325.0430108919,18773.836134113906,977883.1560933823,951283.753995553,52.08755147896878,1.3097218155278278
1955,C,1108181,758344.0815676764,19299.815683281762,1107655.020450832,1076161.9614432156,57.39199993553955,1.4190945608997627
1956,C,963021,786188.8561600939,19940.941143746342,962379.8745395354,935176.2254075825,48.26150719778571,1.1895058268507812
1957,C,966966,802977.6500309036,20419.397273953306,966487.5438697931,950177.2061291903,47.331835063644654,1.1833171273106062
1958,C,930758,815255.1985565023,20888.129980468846,930289.2672934844,918480.4514744013,44.53674255011523,1.1266171048043243
1959,C,956229,830877.7843204135,21307.128795947363,955810.0011845215,940606.4142360889,44.85869543184615,1.1320635019811294
1960,C,1259369,856203.8235364342,21739.20242756706,1258936.9263683802,1234042.9607839794,57.91090683124358,1.441295783621862
1961,C,1195868,880579.126716822,22461.613127606153,1195145.589299961,1171492.6968196123,53.208359636070966,1.3303661888823566
1962,C,1426754,906465.3547613489,23100.43312204152,1426115.1800055646,1400867.771955473,61.73543034761638,1.5454178856336862
1963,C,1749825,942931.4139149981,23951.986337302686,1748973.446784739,1713358.940846351,73.0199751350433,1.8170557429331804
1964,C,1596262,979789.2463425923,25103.01167887012,1595110.9746584326,1559404.1675724057,63.542613733517896,1.591571017331972
1965,C,1526405,1016088.7576298787,26069.18808573048,1525438.8235931396,1490105.4887127136,58.515010846391526,1.4665111463180862
1966,C,1502754,1053049.098707815,26938.64954597007,1501884.5385397605,1465793.6589220637,55.752035230156416,1.391951866936426
1967,C,1524602,1085955.9304761733,27759.85571245703,1523780.793833513,1491695.1682316416,54.89152427941936,1.3736240360854777
1968,C,1645258,1120614.064106447,28579.35737736062,1644438.4983350965,1610599.8663697264,57.53937979157476,1.4372475930453215
1969,C,1765306,1162566.9902890583,29495.841764237925,1764389.5156131226,1723353.0738173886,59.8182458977098,1.4823688339791048
1970,C,1883912,1209867.6338881464,30506.054215073436,1882901.7875491644,1836611.356400912,61.72223304509825,1.5180266873481043
1971,C,1879489,1262990.258208842,31605.960621746046,1878389.0935933273,1826366.3756793044,59.43148243692133,1.446065291326503
1972,C,1516974,1314884.240248922,32670.015837705,1515909.944784041,1465080.01795992,46.400649216536486,1.1142273769153734
1973,C,1357787,1355594.2974248629,33340.83642750844,1357116.1794101966,1317076.9428240592,40.70432313121228,0.9715863701448342
1974,C,1731299,1394051.5627077022,33831.76168039322,1730808.0747471151,1692841.7347171607,51.15926539971413,1.2143322241460788
1975,C,1268978,1424599.1664315334,34680.051700534954,1268129.7099798582,1238430.3962761688,36.56654612081495,0.8693184900411691
1976,C,1062192,1439919.0906364364,35040.41234598094,1061831.639354554,1046872.075795097,30.303057762856028,0.7270353470571637
1977,C,1180690,1452500.90180793,35181.041501281645,1180549.3708446992,1168108.1888285063,33.55640766921843,0.8042047942101518
1978,C,1353878,1466792.0155005755,35432.952005647814,1353626.0894956337,1339586.8863073546,38.20246445398829,0.9132766419172187
1979,C,1570815,1482543.223607474,35847.85677749814,1570400.0952281496,1555063.7918931015,43.80736357477016,1.048916326438809
1980,C,1982988,1511024.8851664823,36465.11878721669,1982370.7379902815,1954506.3384409917,54.36347950922421,1.2934971208138955
1981,C,2355052,1551502.4536297093,37474.488115598004,2354042.6306716185,2314574.431536773,62.81720575902398,1.4918277609692927
1982,C,1596046,1582540.756150861,38824.84908921883,1594695.6390263792,1565007.6974788483,41.07409755442439,0.9889209433603103
1983,C,1346925,1601700.5114648861,39375.73015173706,1346374.1189374817,1327765.244685975,34.19299435843189,0.8289722299405555
1984,C,1586158,1616132.720890257,39658.32916573561,1585875.4009860014,1571725.790574629,39.988457263504216,0.972522720602324
1985,C,1865311,1630678.7228679652,40168.160112177546,1864801.169053558,1850764.9980222918,46.42485898895372,1.1349660555865035
1986,C,1947381,1652223.6304314204,40938.888749120706,1946610.2713630567,1925836.0924365448,47.54917221354393,1.165602559463261
1987,C,2275501,1679716.9914469852,41766.181752944765,2274673.706996176,2248007.6389844352,54.462093768861166,1.3383252359957962
1988,C,2536838,1713250.1829124358,42894.365740191366,2535709.816012753,2503304.8085345495,59.11521879986284,1.4611437567624024
1989,C,3142369,1756312.8850059367,44248.17713307689,3141015.1886071144,3099306.2979064994,70.98631835522797,1.7646663782780498
1990,C,3331604,1802382.8517230412,46165.31410826199,3329686.863024815,3285534.0332828956,72.12529422449909,1.8228835400547627
1991,C,3267388,1850000.3270904873,48213.52237605231,3265339.7917322097,3219770.5246325536,67.72663831245208,1.7404161920859313
1992,C,3948551,1911239.5584311946,50135.270966536686,3946629.2514095157,3887311.7686592927,78.7196154588201,2.033921782076403
1993,C,4684998,1988514.6973353573,52679.03167405433,4682454.239292482,4607722.861095837,88.88649032625825,2.317168119134479
1994,C,4833130,2070688.8927562246,55882.16851306318,4829926.863160991,4750955.804579133,86.43055542899938,2.294384164226281
1995,C,5602626,NA,59137.18607425427,5599370.982438809,NA,94.68443384181462,NA
1996,C,6194167,NA,63063.27284904916,6190240.913225205,NA,98.15920794409799,NA
1997,C,6635812,NA,67462.65910376521,6631412.613745284,NA,98.2975278745746,NA
1998,C,6799409,NA,72171.06293317064,6794700.596170595,NA,94.14715981753503,NA
1999,C,5892807,NA,76900.6058482473,5888077.457084923,NA,76.56737410761404,NA
2000,C,6011184,NA,80579.44440587626,6007505.161442371,NA,74.55381711473147,NA
2001,C,6280820,NA,84261.88246254643,6277137.56194333,NA,74.49557710431469,NA
2002,C,6412994,NA,88098.26525230796,6409157.617210238,NA,72.75010011666869,NA
2003,C,6790743.000000001,NA,91945.83776816075,6786895.427484148,NA,73.8140582784959,NA
2004,C,7019324.000000001,NA,96049.00393019742,7015220.833837965,NA,73.0379342500647,NA
2005,C,7769619.000000001,NA,100249.28966484612,7765418.714265352,NA,77.4610846643077,NA
2006,C,8002756.000000001,NA,105064.5620984231,7997940.727566424,NA,76.12405713045335,NA
2007,C,8540861,NA,109958.45770593076,8535967.104392493,NA,77.62901810810042,NA
2008,C,9485613,NA,115232.45292748757,9480339.004778443,NA,82.27143277722418,NA
2009,C,8615526,NA,121280.68185666061,8609477.771070827,NA,70.98803897925153,NA
2010,C,8766513,NA,126257.78740096079,8761535.8944557,NA,69.39402372569239,NA
1860,ME,1600.9074023080718,NA,NA,NA,NA,NA,NA
1861,ME,1961.6610475727068,NA,NA,NA,NA,NA,NA
1862,ME,1254.5352777718824,NA,NA,NA,NA,NA,NA
1863,ME,1376.6813209350803,NA,NA,NA,NA,NA,NA
1864,ME,1624.2368355929907,NA,NA,NA,NA,NA,NA
1865,ME,1659.200390879761,NA,NA,NA,NA,NA,NA
1866,ME,2196.950150989535,NA,NA,NA,NA,NA,NA
1867,ME,1917.8515618648235,NA,NA,NA,NA,NA,NA
1868,ME,2227.0287619925684,NA,NA,NA,NA,NA,NA
1869,ME,840.6442080136859,NA,NA,NA,NA,NA,NA
1870,ME,2877.6768252311085,NA,NA,NA,NA,NA,NA
1871,ME,1864.7657811246077,NA,NA,NA,NA,NA,NA
1872,ME,2061.356743457787,NA,NA,NA,NA,NA,NA
1873,ME,1950.5776291017987,NA,NA,NA,NA,NA,NA
1874,ME,6811.3908999696905,NA,NA,NA,NA,NA,NA
1875,ME,6040.538533425205,NA,NA,NA,NA,NA,NA
1876,ME,2016.282434514317,NA,NA,NA,NA,NA,NA
1877,ME,4445.951066027518,NA,NA,NA,NA,NA,NA
1878,ME,1693.3317719419952,NA,NA,NA,NA,NA,NA
1879,ME,863.6173565105117,NA,NA,NA,NA,NA,NA
1880,ME,1940.2876316439897,NA,NA,NA,NA,NA,NA
1881,ME,3394.709934363883,NA,NA,NA,NA,NA,NA
1882,ME,4982.767587616614,NA,NA,NA,NA,NA,NA
1883,ME,4404.769557965722,NA,NA,NA,NA,NA,NA
1884,ME,7501.80587707045,NA,NA,NA,NA,NA,NA
1885,ME,4774.719952197108,NA,NA,NA,NA,NA,NA
1886,ME,2836.32306934269,NA,NA,NA,NA,NA,NA
1887,ME,5735.067364096436,NA,NA,NA,NA,NA,NA
1888,ME,12899.861037014023,NA,NA,NA,NA,NA,NA
1889,ME,5609.479056729157,NA,NA,NA,NA,NA,NA
1890,ME,16490.891885016652,NA,NA,NA,NA,NA,NA
1891,ME,12694.118605782192,NA,NA,NA,NA,NA,NA
1892,ME,5978.00082401914,NA,NA,NA,NA,NA,NA
1893,ME,12485.179238571101,NA,NA,NA,NA,NA,NA
1894,ME,10321.52421513385,NA,NA,NA,NA,NA,NA
1895,ME,8627.068600060189,NA,NA,NA,NA,NA,NA
1896,ME,9764.165330037085,NA,NA,NA,NA,NA,NA
1897,ME,6764.358778784435,NA,NA,NA,NA,NA,NA
1898,ME,7838.004263783141,NA,NA,NA,NA,NA,NA
1899,ME,12023.899762839555,NA,NA,NA,NA,NA,NA
1900,ME,12431.791590710221,1960.6503831114046,183.30811339214878,NA,NA,NA,NA
1901,ME,18175.81502593396,2293.591014205794,186.63143094239345,18172.491708383714,17842.87439483957,97.37101417816875,7.779449031813571
1902,ME,29392.389531338937,2318.253283175749,183.77200421893545,29395.248958062395,29367.727262368982,159.95498924331574,12.668040837254187
1903,ME,26194.231806096792,2404.57122457059,186.32166195585532,26191.682148359872,26107.91386470195,140.57239439268955,10.857617190925305
1904,ME,24199.31913247146,2823.8297970598214,188.72709976621564,24196.9136946611,23780.06055998223,128.21112455304433,8.421208879069868
1905,ME,21384.465631893992,3600.691269613397,199.8842864822632,21373.308445177943,20607.604159340415,106.9284075368001,5.723235516815924
1906,ME,79545.39861751652,4907.791525020999,215.9356037649792,79529.3473002338,78238.29836210892,368.30122459468174,15.94165073296877
1907,ME,92590.95541239105,6264.2163183685125,245.91110688165472,92560.97990927438,91234.53061904354,376.40015972852973,14.564396563304692
1908,ME,108621.19480784434,7287.7004806216355,286.1399995344876,108580.96591519151,107597.71064559121,379.4679740401152,14.764288259609321
1909,ME,57606.60800786343,7201.382539226794,332.98394429995915,57559.76406309796,57692.92594925828,172.86047885614232,8.011368044260667
1910,ME,60068.42886290035,7090.402328861997,355.37822435639634,60046.03458284391,60179.409073265146,168.96374191634726,8.487446308695416
1911,ME,74274.01070002069,7386.3495565014555,377.6526827545613,74251.73624162252,73978.06347238124,196.61381907851867,10.015510761640822
1912,ME,88479.59253714101,7805.608128990686,423.2546714528115,88433.99054844276,88060.33396465179,208.9380141863413,11.281674984116648
1913,ME,83605.70311687728,8113.886491115121,461.91670458886654,83567.04108374122,83297.42475475285,180.91365879075727,10.266032787858853
1914,ME,54906.61873635521,7891.926070385527,493.27593047727476,54875.2595104668,55128.5791570848,111.24657847661777,6.985440393816528
1915,ME,25428.46426882135,6917.766446072314,506.7224137312437,25415.01778556738,26402.623893134565,50.15570082725222,3.81663996594235
1916,ME,47068.64506721267,6202.560645943626,495.00410306935345,47080.36337787456,47783.85086734135,95.1110568295194,7.703890956486047
1917,ME,101832.2624137236,5610.6661906647105,490.5176986291388,101836.74881816382,102424.15686900252,207.61075309365867,18.255257644701913
1918,ME,110133.18398633217,5302.387828540276,499.45131716471644,110124.25036779659,110441.4623484566,220.49045939642238,20.828627765400675
1919,ME,125315.08294915187,4981.778331930865,506.30006861404047,125308.23419770255,125635.69244576128,247.49796013404602,25.21904510292948
1920,ME,107445.37954035672,4846.135852596112,512.5709876555277,107439.10862131523,107581.02201969147,209.60825175208603,22.199340937183898
1921,ME,86371.15064178758,5055.7651388407285,516.6937719297034,86367.0278575134,86161.52135554297,167.15322024292504,17.042231786759686
1922,ME,90883.43180649236,5573.67278720978,530.8084203070925,90869.31715811497,90365.5241581233,171.19042140579396,16.212922359828898
1923,ME,120764.3769554862,6153.236108003716,531.5827400355877,120763.60263575769,120184.81363469225,227.17743361583368,19.531968467513202
1924,ME,146305.4193035313,6769.792832252586,549.999932677011,146287.00211088988,145688.86257928243,265.9764000313021,21.52043145030862
1925,ME,153961.4282881939,7534.323170321183,583.490696990622,153927.9375238803,153196.8979501253,263.80529855534996,20.333199742956424
1926,ME,204320.12854258335,9051.052711973403,618.8131035727386,204284.80613600122,202803.39900093112,330.12359459836244,22.406608982913973
1927,ME,149941.9975488045,9667.609436222272,664.0878189605255,149896.72283341672,149325.44082455564,225.71822363500817,15.44595298451633
1928,ME,88100.61808369208,9914.23212592182,690.3773235251774,88074.32857912742,87853.99539399253,127.57419106613433,8.861401899627593
1929,ME,276265.6756580944,12331.134484977387,721.4357651017222,276234.61721651786,273848.7732990388,382.89565139256564,22.207913929789648
1930,ME,253801.37246469382,13749.214950749787,784.2566661191609,253738.5515636764,252383.29199892143,323.54019101843767,18.356196546709615
1931,ME,125193.6888542667,13255.96957135069,844.38087010877,125133.5646502771,125686.9342336658,148.1956414220491,9.481534606514579
1932,ME,16702.40296972916,11233.663515814396,859.394603408082,16687.389236429848,18724.709025265453,19.417609989931332,1.6668390502266157
1933,ME,12678.942576231204,9186.695191308154,817.7602306646824,12720.576948974604,14725.910900737446,15.555387107337333,1.6029606506015497
1934,ME,22774.679703440157,7595.978842746071,779.4862637557163,22812.953670349125,24365.39605200224,29.26665257759884,3.207670341956054
1935,ME,40629.42573238251,6917.766446072314,757.9595937304376,40650.952402407784,41307.638129056264,53.63208373989521,5.971239192746876
1936,ME,54273.58366777421,6634.1503529178335,762.563307929012,54268.97995357564,54557.19976092869,71.16652399780506,8.223690579598236
1937,ME,57812.61056152852,6473.845604613128,777.5772065205659,57797.596662936965,57972.915309833224,74.33036382530368,8.954942525741258
1938,ME,101870.36565901758,6757.461697767608,796.5356018199552,101851.4072637182,101586.74956586311,127.86799112431909,15.03327049555061
1939,ME,79565.56453480279,6806.786235707518,835.8301305999971,79526.27000602275,79516.23999686287,95.1464503306852,11.681906445031428
1940,ME,85435.38731761066,7090.402328861997,849.5072059396022,85421.71024227104,85151.77122445618,100.55442690187647,12.009441393450935
1941,ME,81536.57192469586,7312.36274959159,867.7465732673903,81518.33255736808,81314.61150396627,93.94255773367226,11.120155589724792
1942,ME,67028.2419176009,6979.422118497201,880.4100996718533,67015.57839119644,67361.18254869529,76.11859338752986,9.651398268371164
1943,ME,67266.70795273315,6424.521066673217,877.3224812515878,67269.79557115342,67821.60900455713,76.67624734201084,10.556679369669638
1944,ME,52088.1369046341,6165.567242488693,874.4823497275065,52090.97703615818,52347.09072881862,59.56778550463599,8.49023109635068
1945,ME,64565.38731761066,5968.269090729055,856.4544918309891,64583.41517550717,64762.68546937029,75.40787723284184,10.85116714492161
1946,ME,97988.8837273088,6683.474890857744,852.1181152807967,97993.22010385898,97273.6779271801,114.99957382265895,14.554356755381809
1947,ME,166934.85797132712,8496.15166014942,881.3240247426396,166905.6520618653,165122.18120203546,189.3805766960731,19.434938052780886
1948,ME,159160.3024981656,9729.26510864716,976.8804499500603,159064.7460729582,157927.18904966785,162.82928589786994,16.23218067203304
1949,ME,194642.2731350009,11874.882509033223,1056.6496782807844,194562.50390667017,192496.65573461485,184.1315129374117,16.210405078802477
1950,ME,177958.32990605346,12738.06192298164,1165.1221701519873,177849.85741418225,177095.15049210505,152.64481439828938,13.902833222422569
1951,ME,223595.01058570322,13847.864026629604,1247.7385528745037,223512.3942029807,222485.20848205526,179.13399701248258,16.066391759351017
1952,ME,230257.73687772267,14846.685919912774,1368.8817508836814,230136.5936797135,229258.9149844395,168.12014151781105,15.441756916063758
1953,ME,187035.26231345176,15278.27562688698,1486.3573203060976,186917.78674402935,186603.67260647757,125.75562026063548,12.213660570312603
1954,ME,155607.7107846071,15216.6199544621,1550.5154229498442,155543.55268196337,155669.36645703198,100.3173205372204,10.230219780929977
1955,ME,204887.08428022778,15672.871930406256,1577.5078794007618,204860.09182377686,204430.83230428363,129.863117958939,13.043610208265422
1956,ME,287848.73590008373,16548.382478839652,1651.098982878464,287775.14479660604,286973.2253516503,174.2930907115633,17.34146680006954
1957,ME,463816.31385917775,18533.695130921016,1801.0644427183674,463666.34839933785,461831.0012070964,257.4401767099021,24.91845246966389
1958,ME,477406.7326300344,20358.703034697664,2113.9695669221733,477093.82750583056,475581.72472625773,225.6862326549259,23.36011895825172
1959,ME,257997.31696066033,20519.007783002373,2413.6337383653913,257697.65278921713,257837.01221235562,106.76750523206566,12.565764141185413
1960,ME,313580.96729950694,21357.52492798083,2467.9927768201633,313526.60826105217,312742.4501545285,127.03708503758644,14.643197243553239
1961,ME,397303.11442934774,22923.579007572964,2572.6334756340752,397198.47373053385,395737.06034975563,154.39372825257846,17.26331914484301
1962,ME,361904.58459850925,24008.718842250968,2751.3913763083083,361725.826697835,360819.4447638312,131.47014627311302,15.028683835009753
1963,ME,302885.753904942,24304.666069890427,2878.7673599902973,302758.37792126,302589.8066773026,105.16944930287123,12.449864804032947
1964,ME,339476.494051527,24834.904852744457,2935.432141595269,339419.82926992205,338946.25526867295,115.62857286336838,13.647978813625961
1965,ME,292369.8038919817,24625.275566499844,3022.98984925509,292282.2461843219,292579.43317822635,96.68647953162812,11.881265344143015
1966,ME,374517.24994306325,25315.819097658576,3055.0499972277157,374485.18979509064,373826.70641190454,122.57907076313471,14.766526217059248
1967,ME,392800.3952703527,26154.336242637037,3165.610927410304,392689.83434017014,391961.87812537426,124.04867286120296,14.986496865724103
1968,ME,453511.93419818196,27646.403515319304,3283.984511383457,453393.5606142088,452019.8669254997,138.06202771133226,16.350042300259
1969,ME,439353.3054571149,28904.179232786995,3451.8554727815063,439185.4344957168,438095.5297396472,127.23169841807457,15.156823039718093
1970,ME,463040.939347318,30322.259698559392,3589.9308325742513,462902.8639875253,461622.8588815456,128.944786285921,15.223893716056962
1971,ME,413042.03750658507,30926.485288323285,3738.5656296047164,412893.4027095546,412437.81191682117,110.441662288863,13.336071269390017
1972,ME,314937.2104567951,30026.312470919936,3823.062519581639,314852.7135668182,315837.38327419845,82.35615084873704,10.518687020928146
1973,ME,363762.5149791797,29533.06709152084,3800.8820770617253,363784.6954216996,364255.7603585788,95.71059771023563,12.3338276796574
1974,ME,319294.3896845518,28719.212215512336,3828.342545862484,319266.92921575106,320108.2445605603,83.39560146225726,11.146135978885162
1975,ME,340804.3957237621,28016.337549868622,3807.7566843253644,340824.98158529925,341507.27038940584,89.50807781082908,12.189575806670964
1976,ME,312904.26017669257,26770.892966885905,3809.3661146094228,312902.6507464085,314149.7047596753,82.14034601357571,11.734748823965674
1977,ME,461772.1124494333,27103.833597980294,3781.789231462325,461799.6893325804,461439.1718183389,122.11142955579622,17.02486735502701
1978,ME,570520.7199694905,28620.563139632515,3904.410485634217,570398.0987153186,569003.9904278383,146.09070967666594,19.880950198352533
1979,ME,639090.9943282104,30938.81642280826,4123.5733060014845,638871.8315078431,636772.7410450346,154.93160521192226,20.581677474113146
1980,ME,817640.1894494977,34588.83223036157,4390.30563079776,817373.4571247015,813990.1736419444,186.1768919664431,23.533323363470934
1981,ME,963184.9234732095,39286.99446913796,4810.140227040673,962765.0888769666,958486.7612344332,200.15322702333887,24.397049817271615
1982,ME,369350.46739886457,38214.18576894492,5335.987201071344,368824.6204248339,370423.27609905764,69.12022209325808,9.693344726451958
1983,ME,293666.5699350881,34798.46151660618,5218.53555611647,293784.02158004296,297082.29418742686,56.296257526828306,8.53722495880044
1984,ME,482836.49663152394,31949.969450576413,5034.497381244656,483020.53480639576,485684.9886975537,95.94215633239257,15.201422631995394
1985,ME,456385.26941002853,30087.96814334482,5054.915293408858,456364.85149786435,458247.27071726014,90.28140433785744,15.230249797330371
1986,ME,430451.83272014285,28447.92725684283,5045.439569378326,430461.30844417337,432091.87360664486,85.31690896799556,15.188870166374247
1987,ME,618617.7969831679,29187.79532594147,5009.339605118055,618653.8969474281,617877.9289140692,123.50009097313902,21.169051037058384
1988,ME,766876.8591373282,31703.34676087686,5163.19087353837,766723.0078689079,764361.3077023928,148.4979011328836,24.109798674177952
1989,ME,1152396.6129360646,37955.231944760395,5449.374662349276,1152110.4291472537,1146144.727752181,211.42066760566033,30.19727897909481
1990,ME,1071255.4363246767,43220.62636984574,6092.69069432867,1070612.1202926973,1065990.0418995915,175.72074047501994,24.663919323559682
1991,ME,1127652.487463195,48066.76222244186,6592.817304966979,1127152.3608525568,1122806.351610599,170.9667216173833,23.3593090047237
1992,ME,1502416.8231748631,55613.416527248024,7100.34939672498,1501909.2910831051,1494870.168870057,211.52611050040122,26.879667932964328
1993,ME,1744746.4097156953,64639.80697025146,7932.6352438369395,1743914.1238685832,1735720.0192726918,219.84045279574318,26.852184445283154
